Elias_Burgos97,"RT @CarrefourTec: ¿Con qué adversario tienes más ganas de enfrentarte en #DragonBallZKakarot?

   🔁 #Raditz
   ❤ #Nappa

Si todavía no lo h…",2019-11-19 10:11:11,0,386,
liliansora174,RT @G9GamersNine: Dragon Ball Z Kakarot : Les dernières informations #DragonBallZKakarot #BandaiNamco #CyberConnect2 @BandaiNamcoFR @cc2inf…,2019-11-19 09:42:28,0,0,"Limoges, France"
rudipitt,"RT @DeadarticGames: Dragon Ball Z: Kakarot - Playable and Support Characters - PS4/XB1/PC
https://t.co/vzKy5j35u7 #DragonBallZ #Kakarot #Dr…",2019-11-19 09:26:51,0,1,
Ghido85,RT @0Sucram: #DragonBallZKakarot si potranno radunare le sfere del drago ed esaudire i desideri! #Gamers https://t.co/mtUCBVIWML,2019-11-19 09:02:43,0,0,
XBJugones,En Dragon Ball Z: Kakarot también será posible buscar las bolas de dragon. #DragonBallZKakarot #XboxOne https://t.co/iXWY2QnDKA,2019-11-19 09:00:30,3,0,España
King7man10,"عدد الفايتات اللي بس راح تكون على ناميك 😱😱😱😱😱😱

#DragonBallzKakarot https://t.co/qhoXZexLRD",2019-11-19 08:16:35,0,0,مملكة المحرق
retroadicto,"RT MeriStation: Del 1 al 10, ¿cuántas ganas le tienes a #DragonBallZKakarot? Por aquí las nuevas imágenes:

https://t.co/45D7zZZJnk",2019-11-19 08:08:03,0,0,España
vernny9,"RT @MeriStation: Del 1 al 10, ¿cuántas ganas le tienes a #DragonBallZKakarot? Por aquí las nuevas imágenes:

https://t.co/NEFUA0s39Y",2019-11-19 08:07:34,0,5,"San José, Costa Rica"
ImFiretf,"RT @MeriStation: Del 1 al 10, ¿cuántas ganas le tienes a #DragonBallZKakarot? Por aquí las nuevas imágenes:

https://t.co/NEFUA0s39Y",2019-11-19 08:03:46,0,5,Mefistopolis.
MeriStation,"Del 1 al 10, ¿cuántas ganas le tienes a #DragonBallZKakarot? Por aquí las nuevas imágenes:

https://t.co/NEFUA0s39Y",2019-11-19 08:00:42,14,5,Madrid - Spain
