screen_name,text,date,favorite_count,retweet_count,location
SaintMime,"RT @culturageek: Hoy 21hs hacemos #CulturaGeekTV con reseña sin spoilers de #TheMandalorian, #TheMorningShow y estrenamos el #MotoG8plus y…",2019-11-17 22:14:36,0,1,Horseshoe Overlook
TrinniLettieri,"RT @t23augusto: Hoy 21hs hacemos #CulturaGeekTV con reseña sin spoilers de #TheMandalorian, #TheMorningShow y estrenamos el #MotoG8plus y p…",2019-11-17 21:38:50,0,1,Buenos Aires
culturageek,"Hoy 21hs hacemos #CulturaGeekTV con reseña sin spoilers de #TheMandalorian, #TheMorningShow y estrenamos el… https://t.co/kCU2mXPUKo",2019-11-17 21:34:04,0,1,Buenos Aires
t23augusto,"Hoy 21hs hacemos #CulturaGeekTV con reseña sin spoilers de #TheMandalorian, #TheMorningShow y estrenamos el… https://t.co/8E2i4ydo5A",2019-11-17 21:33:34,0,1,Buenos Aires
rafahMendesPi,Bom domingo para todos! Que Deus nos abençoe! #motog8plus #Motorola #MotorolaRAZR2019 #minasshopping https://t.co/HtwUba6Of3,2019-11-17 17:20:49,0,0,"Belo Horizonte, Minas Gerais"
iammarting1,RT @MotorolaESP: Porque hoy no es un domingo cualquiera ¡Hoy es domingo de carrera! 🚦🏍 Todo listo para vivir la jornada final de #ValenciaG…,2019-11-17 13:40:59,0,1,"Buenos Aires, Argentina"
MotorolaESP,"Así de bien lo estamos pasando por aquí 😁Estamos seguros de que hoy será una experiencia inolvidable, ¿verdad Krono… https://t.co/3kBPjx6PCD",2019-11-17 10:08:01,8,0,España
MotorolaESP,Porque hoy no es un domingo cualquiera ¡Hoy es domingo de carrera! 🚦🏍 Todo listo para vivir la jornada final de… https://t.co/imZ0sCBfQW,2019-11-17 08:36:40,6,1,España
wallir2003,"RT @motorola_AR: Luz, cámara… ¡acción! Filmá vertical, reproducí horizontal. No te pierdas nada con tu nuevo #motog8plus ✨ https://t.co/UpH…",2019-11-17 00:26:50,0,2,
stocco_jose,RT @motorolaindia: Get sharper photos &amp; videos in any light with the 48 MP Quad Pixel camera system with Night Vision mode. #DontMissAThing…,2019-11-16 15:17:46,0,16,"Belo Horizonte, Brasil"
jonki1980,@tescomobile I am wondering if you plan to bring the Moto g8 as an option as you have with Moto g7 phone.  I know i… https://t.co/eCTVhpOATl,2019-11-16 14:57:32,0,0,"Bristol, England"
AGR2018,#motog8plus nadie me puede explicar si el modelo en venta en Argentina posee funcion NFC? segun explicacion tecnica… https://t.co/yhfr8my44A,2019-11-16 14:57:01,0,0,
Alequemera73,"RT @motorola_AR: Luz, cámara… ¡acción! Filmá vertical, reproducí horizontal. No te pierdas nada con tu nuevo #motog8plus ✨ https://t.co/UpH…",2019-11-16 14:51:23,0,2,
motorola_AR,"Luz, cámara… ¡acción! Filmá vertical, reproducí horizontal. No te pierdas nada con tu nuevo #motog8plus ✨ https://t.co/UpHOTaFoSw",2019-11-16 14:50:00,16,2,Argentina
LvrFox,RT @MotorolaESP: ¡Es el momento de capturar hasta el más mínimo detalle! Siempre con #MotoG8Plus ¡Mira como fue nuestro primer día! 😍🏍💨IN C…,2019-11-16 11:15:29,0,1,Kyoto city Japan
MotorolaESP,¡Es el momento de capturar hasta el más mínimo detalle! Siempre con #MotoG8Plus ¡Mira como fue nuestro primer día!… https://t.co/s1t0YpZdGQ,2019-11-16 11:12:57,6,1,España
MotorolaESP,"🚦3, 2, 1.... 💨 No nos queremos perder la última puesta a punto de @petrux9 antes de la carrera 🙌@DucatiMotor… https://t.co/q4ihj4s8rd",2019-11-16 10:05:31,2,0,España
th3w0rldi5y0ur5,RT @MotorolaESP: ¿Puede estar kronometrillo más feliz? 🤔 Nuestro influencer es un apasionado de las motos y fan número de uno de @DucatiMot…,2019-11-16 07:20:08,0,1,
Leandro64705128,@MotorolaBR me ajuda por favor!!! Troco meu Motorola G7plus pelo #motog8plus ou #motorolaonezoom,2019-11-16 06:01:34,1,0,"Nova Friburgo, Brasil"
iaryanagnihotri,"@motorolaindia Please fix the wide angle camera issue with a software update and make it available for pictures as well, in #MotoG8Plus.",2019-11-15 21:45:56,0,0,dil aur duniya ke beech 
MrChaHunter,"RT @Motorola_col: @ArqcarBettin Hola, puedes encontrar nuestro nuevo #MotoG8Plus en los almacenes Alkosto, Éxito, Falabella y el operador M…",2019-11-15 19:59:07,0,1,"Bogotá, D.C., Colombia"
Akkichins,@motorolaindia What's the actual aperture of the #motog8plus main 48MP cam? Different number on different place.,2019-11-15 19:30:11,0,0,"Trivandrum, India"
MotorolaESP,¿Puede estar kronometrillo más feliz? 🤔 Nuestro influencer es un apasionado de las motos y fan número de uno de… https://t.co/riUzITdYgw,2019-11-15 18:12:57,2,1,España
droideChilango,"#motog8plus #AmazonBuenFin #BuenFin2019 #lotienetodo un diseño renovado, action cam , camara de 48mp, sensor de pro… https://t.co/8MS00NM2r3",2019-11-15 18:07:33,1,0,CDMX
