screen_name,text,date,favorite_count,retweet_count,location
RealBoomplace,"RT @TabTechGER: RT @Flash_Box_: Mein neues #Video schon gesehen ? 

#RedmiNote8 #RedmiNote8T #RedmiNote8Pro… https://t.co/oOQgYLf6qV",2019-11-19 09:50:42,1,0,Deutschland
TabTechGER,"RT @Flash_Box_: Mein neues #Video schon gesehen ? 

#RedmiNote8 #RedmiNote8T #RedmiNote8Pro #GermanMediaRT

https://t.co/h3aiyQUwYv",2019-11-19 09:48:55,0,7,"Hamburg, Deutschland"
Fifty_Shades_D,"RT @Concours__FR: 🎁#Concours #JeuConcours 🎁
🔥Tentez de gagner le nouveau Redmi Note 8T (200€) 🔥↙️
🔁RT ce Tweet
▶️Follow @Concours__FR (moi)…",2019-11-19 08:48:12,0,30,France
sophia_messier,"RT @Concours__FR: 🎁#Concours #JeuConcours 🎁
🔥Tentez de gagner le nouveau Redmi Note 8T (200€) 🔥↙️
🔁RT ce Tweet
▶️Follow @Concours__FR (moi)…",2019-11-19 08:43:47,0,30,Paris
nieuwjaera,"RT @Concours__FR: 🎁#Concours #JeuConcours 🎁
🔥Tentez de gagner le nouveau Redmi Note 8T (200€) 🔥↙️
🔁RT ce Tweet
▶️Follow @Concours__FR (moi)…",2019-11-19 08:39:57,0,30,Front National
SalvadorStef,"RT @Concours__FR: 🎁#Concours #JeuConcours 🎁
🔥Tentez de gagner le nouveau Redmi Note 8T (200€) 🔥↙️
🔁RT ce Tweet
▶️Follow @Concours__FR (moi)…",2019-11-19 08:39:51,0,30,
huseur,"RT @Concours__FR: 🎁#Concours #JeuConcours 🎁
🔥Tentez de gagner le nouveau Redmi Note 8T (200€) 🔥↙️
🔁RT ce Tweet
▶️Follow @Concours__FR (moi)…",2019-11-19 08:38:05,0,30,Ayaya
Technikba,"RT @Flash_Box_: Mein neues #Video schon gesehen ? 

#RedmiNote8 #RedmiNote8T #RedmiNote8Pro #GermanMediaRT

https://t.co/h3aiyQUwYv",2019-11-19 08:24:28,0,7,"Celle, Deutschland"
MiStoreSpain,¿Se le puede pedir más a la cuádruple cámara de 48 MP del #RedmiNote8T? ¡Solo por 199€! 😱 https://t.co/1ZposByLfh https://t.co/bvcIFMF5Ge,2019-11-19 08:04:58,2,0,España
NaiYZoXx,"RT @Concours__FR: 🎁#Concours #JeuConcours 🎁
🔥Tentez de gagner le nouveau Redmi Note 8T (200€) 🔥↙️
🔁RT ce Tweet
▶️Follow @Concours__FR (moi)…",2019-11-19 08:00:24,0,30,
SwatiRo22707645,RT @XiaomiEspana: Batería para todo el día. Eso es lo que trae el nuevo #RedmiNote8T. https://t.co/HC9l3vBXlt https://t.co/KPwu1hi5Bq,2019-11-19 07:53:02,0,4,
alexiacazade,"RT @Concours__FR: 🎁#Concours #JeuConcours 🎁
🔥Tentez de gagner le nouveau Redmi Note 8T (200€) 🔥↙️
🔁RT ce Tweet
▶️Follow @Concours__FR (moi)…",2019-11-19 07:32:56,0,30,
technischgeseh1,"RT @Flash_Box_: Mein neues #Video schon gesehen ? 

#RedmiNote8 #RedmiNote8T #RedmiNote8Pro #GermanMediaRT

https://t.co/h3aiyQUwYv",2019-11-19 07:23:37,0,7,
ColinLeRoy9,"RT @Concours__FR: 🎁#Concours #JeuConcours 🎁
🔥Tentez de gagner le nouveau Redmi Note 8T (200€) 🔥↙️
🔁RT ce Tweet
▶️Follow @Concours__FR (moi)…",2019-11-19 06:52:59,0,30,
fabio44400,"RT @Concours__FR: 🎁#Concours #JeuConcours 🎁
🔥Tentez de gagner le nouveau Redmi Note 8T (200€) 🔥↙️
🔁RT ce Tweet
▶️Follow @Concours__FR (moi)…",2019-11-19 06:38:09,0,30,
KirashineYT,"RT @Concours__FR: 🎁#Concours #JeuConcours 🎁
🔥Tentez de gagner le nouveau Redmi Note 8T (200€) 🔥↙️
🔁RT ce Tweet
▶️Follow @Concours__FR (moi)…",2019-11-19 06:35:07,0,30,
0t0Dr,"RT @Concours__FR: 🎁#Concours #JeuConcours 🎁
🔥Tentez de gagner le nouveau Redmi Note 8T (200€) 🔥↙️
🔁RT ce Tweet
▶️Follow @Concours__FR (moi)…",2019-11-19 06:33:47,0,30,
