screen_name,text,date,favorite_count,retweet_count,location
NatureCutsTags,Puma Panther Vinyl Stickers #naturecuts #vinyl #vinylstickers #sticker #decals #partysupplies #party #event… https://t.co/B2Ub1bl3px,2019-11-22 23:55:03,0,0,"Wisconsin, USA"
MetalRabbit13,#Argentinian Woman Discovers Pet #Kitten She Rescued Is Actually a #Puma After Visit to the Vet - #People… https://t.co/AoHX05jeHw,2019-11-22 23:40:44,0,0,"Maryland, USA"
HelenJBurch,Holy shit !! #kitten #puma 😲 #cute #CuteCats ❤️ https://t.co/VTm6LrDVy8,2019-11-22 23:28:36,0,0,"South West, England"
moflezone,"Instalación de resonador 12X35"" de la marca #puma en esta nissan_mx #estaquitas 
Gracias por su confianza en MofleZ… https://t.co/SK7P0BcJ35",2019-11-22 23:25:28,1,0,"Chilpancingo de los Bravo, Guerrero"
ya_girlmeg,"RT @AmberHeardIT: NEW! #AmberHeard attends PUMA x Balmain Launch Event in LA November 21, 2019 ! SHE IS SO BEAUTIFUL 😍😍😍😍❤️❤️❤️❤️ #puma #Ca…",2019-11-22 23:16:08,0,40,themyscira
oginoshingobot,"【おぎの信号落書き展覧会】

プーマ百景96
「ロープを使って向こうに渡ろうととんでみたが、思いのほか低く、足がついてしまったプーマ」 

#プーマ百景 #落書き展覧会 #おぎの信号 #荻野晋吾 #プーマ #PUMA
https://t.co/xfaOU2dymq",2019-11-22 23:07:56,0,0,
baboonaboo,"RT @amberheardsourc: NEW — #AmberHeard attends #PUMA x #Balmain created by #CaraDelevingne launch event in Los Angeles (November 21, 2019)…",2019-11-22 23:05:42,0,15,who gon check me boo
sam_ruthless,"RT @amberheardsourc: NEW — #AmberHeard attends #PUMA x #Balmain created by #CaraDelevingne launch event in Los Angeles (November 21, 2019)…",2019-11-22 22:58:37,0,15,
dhuku_HPMI777,"RT @ABCMART_INFO: 厚みのあるEVAミッドソールが特徴的で、
機能性にも優れた全5種の #XRAY を履いて、
君だけのX-STYLEを見つけよう！
 
お買い求めは、お近くのABC-MARTまたは、
ABC-MART公式通販サイトへ！

#佐野勇斗 #PUMA…",2019-11-22 22:55:59,0,166,イセシマディビジョン
96michaelr,RT @tacoswithagus: Mike @Michaelronda  que orgullo verte en esta faceta amo @PUMAmexico @puma #puma https://t.co/Tv2StOccOM,2019-11-22 22:49:11,0,3,France 
shiva17828397,"RT @amberheardsourc: NEW — #AmberHeard attends #PUMA x #Balmain created by #CaraDelevingne launch event in Los Angeles (November 21, 2019)…",2019-11-22 22:35:29,0,15,mumbai
DHintermeier,Der BVB spielt nur 3:3 gegen Paderborn. Aber dafür gibt es vom Ausrüster Puma 250 Millionen Euro. #BVB #BVBSCP… https://t.co/o5d53j6LWq,2019-11-22 22:32:04,0,0,"Frankfurt am Main, Deutschland"
ducciosiena,"RT @NonEvoluto: Il @BVB con la sua sola #CoppaCampioni del 97, l'intercontinentale dello stesso anno e una misera #CoppaDelleCoppe datata 1…",2019-11-22 22:27:04,0,16,
Eliseo1222,"Salí de los atrasos y fue fácil coronarme 👑🐺😛

#Puma #Orlando #Gamer #PuertoRico https://t.co/7iNaAmNtSX",2019-11-22 22:22:51,1,0,
Aploskl,"RT @amberheardsourc: NEW — #AmberHeard attends #PUMA x #Balmain created by #CaraDelevingne launch event in Los Angeles (November 21, 2019)…",2019-11-22 22:18:03,0,15,
oginoshingobot,"【おぎの信号落書き展覧会】

プーマ百景62
「キックボードを押すプーマ」

#プーマ百景 #落書き展覧会 #おぎの信号 #荻野晋吾 #プーマ #PUMA
https://t.co/Nl9Q09uaU5",2019-11-22 22:07:46,0,0,
allroundguy94,"RT @Rubiks_Official: Time to mix things up. the new PUMA x RUBIK’S CUBE collection brings together vibrant colours, graphic prints and fres…",2019-11-22 22:07:39,0,11,"Winschoten-Centrum, Oldambt"
