screen_name,text,date,favorite_count,retweet_count,location
unicornfantasy5,"RT @wwd_jp: 【本日発売】G-DRAGONが「ナイキ」とのコラボ“エア フォース 1”を発表　アッパーが徐々に剥がれ落ちる特別仕様
https://t.co/iJ0nsf16OT
#NIKE #GDRAGON #AirForce1",2019-11-22 23:58:52,0,10,united kingdom
SuuYkrxxx,"RT @wwd_jp: 【本日発売】G-DRAGONが「ナイキ」とのコラボ“エア フォース 1”を発表　アッパーが徐々に剥がれ落ちる特別仕様
https://t.co/iJ0nsf16OT
#NIKE #GDRAGON #AirForce1",2019-11-22 23:56:24,0,10,練習生みんなが幸せになってほしい
wwd_jp,"【本日発売】G-DRAGONが「ナイキ」とのコラボ“エア フォース 1”を発表　アッパーが徐々に剥がれ落ちる特別仕様
https://t.co/iJ0nsf16OT
#NIKE #GDRAGON #AirForce1",2019-11-22 23:55:00,84,10,TOKYO
DR_mag_TOKYO,"RT @DR_mag_TOKYO: 【国内11月23日発売予定】PEACEMINUSONE X NIKE AIR FORCE 1 '07 “PARA-NOISE”

#PEACEMINUSONE #NIKE #AIRFORCE1 #PARANOISE #GDRAGON
http…",2019-11-22 23:43:21,0,4,
forward2me,"Buy Sat 23/11 8.00am GMT at Nike UK with your FREE UK address for delivery using forward2me
https://t.co/6xDXl5Znkj… https://t.co/fSdboBEaO4",2019-11-22 23:35:04,1,0,Buy in the UK & ship overseas
bbbbbiggbangg,"RT @Number_GGG: af1_paranoise instgam IGTV 2

[AF1 PARA-NOISE All For Seoul STORY]

보다 창의적이고 대담한 젊음의 도전을 응원하는 지드래곤의 이야기를 직접 들어보세요.

https:/…",2019-11-22 23:32:14,0,72,
ue_ken89,"今日は楽しみが多すぎる🤩
全ては運次第🤦‍♂️
頑張ります🔥🔥🔥
#airforce1 
#airjordan4 
#sneakercon
#斉藤朱夏 https://t.co/t5vJqGFWfI",2019-11-22 23:28:22,0,0,
JIYGStan,"RT @Number_GGG: af1_paranoise instgam IGTV 2

[AF1 PARA-NOISE All For Seoul STORY]

보다 창의적이고 대담한 젊음의 도전을 응원하는 지드래곤의 이야기를 직접 들어보세요.

https:/…",2019-11-22 23:16:59,0,72,
kwontamong,"RT @Number_GGG: af1_paranoise instgam IGTV 2

[AF1 PARA-NOISE All For Seoul STORY]

보다 창의적이고 대담한 젊음의 도전을 응원하는 지드래곤의 이야기를 직접 들어보세요.

https:/…",2019-11-22 23:06:01,0,72,peace places
NAODIDDY,"@atmos_tokyo さんの #AirForce1 企画でお話しさせて頂きました。
web公開は来週だそうです。
お相手はAirMaxと言えばこの人　_gken_ くん
楽しい時間でした。
今度飲み行きましょう🍻… https://t.co/pNw48W0B0o",2019-11-22 22:41:44,0,0,SHIBUYA TOKYO JP
8FVdMCeT3Dhxvu3,"RT @always_gd: “나의 소리가 모여 새로운 소리를 만들다.”
나이키와 지드래곤이 만나 탄생한 AIR FORCE 1 PARA-NOISE의 세계를 지금 만나보세요.
https://t.co/UmJzUFaYhS
 
#AIRFORCE1 #ALLFO…",2019-11-22 22:36:44,0,1009,
sol_love_taeyan,"RT @Number_GGG: af1_paranoise instgam IGTV 2

[AF1 PARA-NOISE All For Seoul STORY]

보다 창의적이고 대담한 젊음의 도전을 응원하는 지드래곤의 이야기를 직접 들어보세요.

https:/…",2019-11-22 22:34:16,0,72,
13caSHEWS,"🤔🔜
Nike Air Force 1 Low CPFM By You
Size 13, Style CK4746
🔥☀️🔥☀️🔥☀️🔥
#13caSHEWS #kickstagram #kickpics… https://t.co/At7NkyxH6W",2019-11-22 22:19:08,1,0,"Cedar Rapids, IA"
takasuke0211,"RT @wwd_jp: 【明日発売】G-DRAGONが「ナイキ」とのコラボ“エア フォース 1”を発表　アッパーが徐々に剥がれ落ちる特別仕様
https://t.co/iJ0nsf16OT
#NIKE #GDRAGON #AirForce1",2019-11-22 21:56:34,0,8,中央区のどこか....
nickstgermain3,RT @swaptco: The #doernbecher Air Force 1 Low is set to drop 12/7! Excited for the Db drop. What about y’all? Drop a comment! #airforceone…,2019-11-22 21:41:27,0,1,
rookies2legends,"When you get a fresh new pair of AirForces and you trying to keep the crease out. 😂😂😂
xdababy
• • • • • •
Comment “… https://t.co/EYQhaqK1R4",2019-11-22 21:37:13,0,0,GRAND RAPIDS MI
khambule_JAY,#airforce1 @ Somewhere Around Mzanzi https://t.co/LXkvAHBtlE,2019-11-22 21:19:42,0,0,"Sandton, South Africa"
swaptco,The #doernbecher Air Force 1 Low is set to drop 12/7! Excited for the Db drop. What about y’all? Drop a comment!… https://t.co/jU07oS7Qfg,2019-11-22 21:18:47,1,1,
KetlenTz,"RT @dailygdragonbr: 🎥 NIKE – AF1 PARA-NOISE,
EP. 3: CHANGE (LEGENDADO PT/BR)

#AIRFORCE1 #ALLFOR1 #AF1PARANOISE #GDRAGON #권지용 https://t.co/…",2019-11-22 20:57:51,0,23,V.I.P
Angelsaven7,RT @sneakernarcos: Ronnie Fieg e Nike stanno lavorando a una nuova collaborazione con protagoniste le Nike Air Force 1 Low #ronniefieg #kit…,2019-11-22 20:40:42,0,1,"Ciudad Guayana, Venezuela"
kikinokc,@dbongino @soonerfan1990 hey @RudyGiuliani jump on #airforce1 and go pick their ass up,2019-11-22 20:07:36,0,0,AMERICA
