screen_name,text,date,favorite_count,retweet_count,location
FanGamer_,Llegó una nueva reseña #StarWarsJediFallenOrder y novedades con #terminatorresistance #HalfLifeAlyx #SAMURAISHODOWN… https://t.co/kENDIwYyWf,2019-11-22 23:51:14,0,0,Lima
XboxOrNot,@Gameblog qui se donne une conscience en tapant gratuitement sur le pauvre #TerminatorResistance alors qu’il ne le… https://t.co/idmYkzmp7l,2019-11-22 23:25:51,6,1,France
GabBarducci,"In questi giorni, complice la presenza al cinema di #TerminatorDestinoOscuro  è uscito anche #TerminatorResistance,… https://t.co/qlewUn3wy0",2019-11-22 22:55:40,0,0,"Roma, Lazio"
PavlouMikey,Just finished #TerminatorResistance by @TeyonGames and oh my god! Well done! That final mission satisfied all of my… https://t.co/IGjjSyGReg,2019-11-22 22:38:46,2,0,"London, England"
KevMillington,"Playing Terminator Resistance (because I can't help myself I'm a fan)  https://t.co/SGXRDUauhO
#terminator… https://t.co/N4diL5x9Tx",2019-11-22 22:08:21,1,0,"Toronto, Ontario"
YoannRatcliffe,"Intéressant le ""test"" de #TerminatorResistance chez  @Gameblog.",2019-11-22 21:57:28,0,0,I Never Ask For This
AnxietyYT,RT @HardResetGaming: Are the machines taking over the world? No clue! But our @Mechgecko is playing #terminatorresistance so let's find out…,2019-11-22 21:35:45,0,1,
TosothYaKnow,"@Schwarzenegger Social anxiety issues makes it hard for me to go to the cinema to watch the new Terminator film, bu… https://t.co/gJp1sflpHo",2019-11-22 21:31:27,1,0,"Värnamo, Sverige"
GameOnze,"(Terminator Resistance in the #Review) https://t.co/iRQUfUpsaF
#TerminatorResistance",2019-11-22 21:02:22,0,0,
TheShifterD98,"RT @xKevMasterx: Terminator Resistance Review!

i have only played the game for about 8hrs or so but my god this game is beautiful, the gra…",2019-11-22 21:01:46,0,11,Malaysia 🇲🇾
TheShifterD98,"@xKevMasterx I don't care what people's judgemenr about this game , I wanna play it NO MATTER WHAT ! #terminatorresistance",2019-11-22 21:01:37,1,0,Malaysia 🇲🇾
FrauRegenbuegel,"RT @LeondaGarbo: 🚀 WENN DU IHN SIEHST, BIST DU BEREITS TOD ❗

✅ https://t.co/PFCePqH0eg

#LETSPLAY #TerminatorResistance  @LeondaGarbo

- -…",2019-11-22 21:00:54,0,4,Regenbogens bei Goldtopf
FrauRegenbuegel,"RT @LeondaGarbo: 🚀 SIE SCHENKT UNS EINE BESONDERE WAFFE ❗

✅ https://t.co/ErbJj8igoc

#LETSPLAY #TerminatorResistance  @LeondaGarbo

- - -…",2019-11-22 21:00:10,0,4,Regenbogens bei Goldtopf
