screen_name,text,date,favorite_count,retweet_count,location
_crius,"RT @oppo: We’re exploring the tough, snowy conditions of Finland through the lens of an #OPPOReno2. 🇫🇮

What do you want to see more of? ❄️…",2019-11-19 10:13:41,0,20,"Antipolo City, Calabarzon"
Sir_uB9ce,"RT @oppomobileng: #OPPOReno2 is priced at N179,000 and the #OPPOReno2F goes for N129,000 only!! 
#OPPOReno2Series 
#OPPOReno2SeriesLaunchEv…",2019-11-19 10:08:47,0,155,Nigeria and ivorycoast.
fapk7,"RT @oppo: We’re exploring the tough, snowy conditions of Finland through the lens of an #OPPOReno2. 🇫🇮

What do you want to see more of? ❄️…",2019-11-19 10:08:38,0,20,
ThomasKnutson5,"RT @oppo: We’re exploring the tough, snowy conditions of Finland through the lens of an #OPPOReno2. 🇫🇮

What do you want to see more of? ❄️…",2019-11-19 10:03:22,0,20,
araoye_gbadebo,RT @oppomobileng: Today is the first sale of the #OPPOReno2 and #OPPOReno2F and there is a special deal from OPPO Care for everyone who buy…,2019-11-19 10:02:05,0,4,
araoye_gbadebo,"RT @oppomobileng: Step in and let your #OPPOReno2 do the talking! #ShotonOPPOReno2 by @IamAnnyRobert

Available at SLOT, POINTEK and Jumia;…",2019-11-19 10:00:22,0,2,
tellemjug,"RT @oppo: We’re exploring the tough, snowy conditions of Finland through the lens of an #OPPOReno2. 🇫🇮

What do you want to see more of? ❄️…",2019-11-19 09:57:09,0,20,kathryn's
BrianHughFergu1,"RT @oppo: We’re exploring the tough, snowy conditions of Finland through the lens of an #OPPOReno2. 🇫🇮

What do you want to see more of? ❄️…",2019-11-19 09:53:28,0,20,
Instaherbs_,"RT @_harrisonJNR: 📷 48MP Ultra-Clear
📷 8MP Wide Angle
📷 13MP Telephoto Lens
📷 2MP Mono Lens

Follow your imagination to wherever it takes y…",2019-11-19 09:51:01,0,11,"London, England"
NettleGoose,"RT @oppo: We’re exploring the tough, snowy conditions of Finland through the lens of an #OPPOReno2. 🇫🇮

What do you want to see more of? ❄️…",2019-11-19 09:49:15,0,20,"Leicester, UK"
